Time Box IPL IDF PPS PPL PDF IZ ZM ZG BD IKR KR FM FT SF SK PNK PNF SB WHM WHO TP WHH PB BB IB DL DR DC
0.000000e+00 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 1 0.000000e+00 0.000000e+00 8.711673e+04 6.522810e+04 5.980806e+04 0.000000e+00 1.669242e+05 7.049164e+03 0.000000e+00 9.522445e+00 4.218788e+05 1.454867e+03 5.805936e+04 0.000000e+00 2.882082e+03 4.464624e+01 6.605271e+01 8.512711e+02 8.663477e+01 2.871384e+02 4.570080e+02 3.321457e+03 1.546173e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 2 0.000000e+00 0.000000e+00 4.426954e+05 3.309036e+05 3.032218e+05 0.000000e+00 8.477629e+05 3.580080e+04 0.000000e+00 2.319377e+01 1.027568e+06 3.543613e+03 1.414149e+05 0.000000e+00 7.019873e+03 1.087446e+02 1.608843e+02 2.073437e+03 2.110159e+02 6.993817e+02 1.113132e+03 8.090056e+03 3.645342e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 3 0.000000e+00 0.000000e+00 3.625522e+06 2.726207e+06 2.503520e+06 0.000000e+00 6.956890e+06 2.937876e+05 0.000000e+00 9.300434e+01 4.120429e+06 1.420948e+04 5.670573e+05 0.000000e+00 2.814888e+04 4.360533e+02 6.451272e+02 8.314242e+03 8.461492e+02 2.804440e+03 4.463531e+03 3.244019e+04 1.634542e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 4 0.000000e+00 0.000000e+00 7.606461e+04 5.711613e+04 5.242413e+04 0.000000e+00 1.458882e+05 6.160820e+03 0.000000e+00 1.825812e+01 4.442982e+04 2.789530e+03 1.113217e+05 0.000000e+00 5.526040e+03 8.560370e+01 1.266480e+02 1.632208e+03 1.661116e+02 5.505529e+02 8.762569e+02 6.368487e+03 3.127430e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 5 0.000000e+00 0.000000e+00 8.503104e+05 6.390907e+05 5.867886e+05 0.000000e+00 1.631373e+06 6.889244e+04 0.000000e+00 3.616259e+01 8.799905e+04 5.525027e+03 2.204871e+05 0.000000e+00 1.094504e+04 1.695493e+02 2.508428e+02 3.232801e+03 3.290056e+02 1.090442e+03 1.735541e+03 1.261362e+04 6.301786e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 6 0.000000e+00 0.000000e+00 1.130436e+06 8.500967e+05 7.806793e+05 0.000000e+00 2.169213e+06 9.160528e+04 0.000000e+00 6.639040e+01 1.615562e+05 1.014332e+04 4.047893e+05 0.000000e+00 2.009385e+04 3.112731e+02 4.605188e+02 5.935054e+03 6.040168e+02 2.001927e+03 3.186255e+03 2.315716e+04 1.168449e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 7 0.000000e+00 0.000000e+00 1.401038e+05 1.136191e+05 1.070610e+05 0.000000e+00 3.335205e+05 1.408448e+04 0.000000e+00 0.000000e+00 8.650116e+05 2.785295e+03 1.473580e+05 0.000000e+00 5.517650e+03 8.547373e+01 1.264557e+02 1.629730e+03 2.369420e+02 7.853099e+02 8.749265e+02 9.084026e+03 1.400239e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 8 0.000000e+00 0.000000e+00 5.689234e+05 4.620116e+05 4.355382e+05 0.000000e+00 1.360671e+06 5.746079e+04 0.000000e+00 0.000000e+00 2.742083e+06 8.829371e+03 4.671240e+05 0.000000e+00 1.749092e+04 2.709513e+02 4.008639e+02 5.166236e+03 7.511048e+02 2.489429e+03 2.773513e+03 2.879632e+04 4.533239e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 9 0.000000e+00 0.000000e+00 1.262701e+06 1.022731e+06 9.633095e+05 0.000000e+00 2.993178e+06 1.264011e+05 0.000000e+00 0.000000e+00 4.219270e+06 1.358584e+04 7.187684e+05 0.000000e+00 2.691346e+04 4.169155e+02 6.168134e+02 7.949340e+03 1.155733e+03 3.830509e+03 4.267632e+03 4.430918e+04 6.699978e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
